id,Year,Month,Day,Hour,Minute,Temperature.daily.mean..2.m.above.gnd.,Relative.Humidity.daily.mean..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.mean..MSL.,Total.Precipitation.daily.sum..sfc.,Snowfall.amount.raw.daily.sum..sfc.,Total.Cloud.Cover.daily.mean..sfc.,High.Cloud.Cover.daily.mean..high.cld.lay.,Medium.Cloud.Cover.daily.mean..mid.cld.lay.,Low.Cloud.Cover.daily.mean..low.cld.lay.,Sunshine.Duration.daily.sum..sfc.,Shortwave.Radiation.daily.sum..sfc.,Wind.Speed.daily.mean..10.m.above.gnd.,Wind.Direction.daily.mean..10.m.above.gnd.,Wind.Speed.daily.mean..80.m.above.gnd.,Wind.Direction.daily.mean..80.m.above.gnd.,Wind.Speed.daily.mean..900.mb.,Wind.Direction.daily.mean..900.mb.,Wind.Gust.daily.mean..sfc.,Temperature.daily.max..2.m.above.gnd.,Temperature.daily.min..2.m.above.gnd.,Relative.Humidity.daily.max..2.m.above.gnd.,Relative.Humidity.daily.min..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.max..MSL.,Mean.Sea.Level.Pressure.daily.min..MSL.,Total.Cloud.Cover.daily.max..sfc.,Total.Cloud.Cover.daily.min..sfc.,High.Cloud.Cover.daily.max..high.cld.lay.,High.Cloud.Cover.daily.min..high.cld.lay.,Medium.Cloud.Cover.daily.max..mid.cld.lay.,Medium.Cloud.Cover.daily.min..mid.cld.lay.,Low.Cloud.Cover.daily.max..low.cld.lay.,Low.Cloud.Cover.daily.min..low.cld.lay.,Wind.Speed.daily.max..10.m.above.gnd.,Wind.Speed.daily.min..10.m.above.gnd.,Wind.Speed.daily.max..80.m.above.gnd.,Wind.Speed.daily.min..80.m.above.gnd.,Wind.Speed.daily.max..900.mb.,Wind.Speed.daily.min..900.mb.,Wind.Gust.daily.max..sfc.,Wind.Gust.daily.min..sfc.,pluie.demain
1494,2014,7,3,0,0,20.96,54.88,1022.65,0,0,4.28,13.46,0.71,0.29,918.01,8254.75,11.42,107.57,15.65,109.94,10.22,121.2,13.41,28.45,12.9,83,24,1024.6,1019.3,13,0,36,0,13,0,3,0,17.29,5.8,24.19,5.01,16.68,3.88,20.16,9.36,TRUE
1498,2014,7,7,0,0,19.71,74.62,1014.18,7.1,0,84.92,55.62,71.79,73.79,211.91,4693.86,8.1,221.39,10.02,195.31,19.08,163.42,15.8,24.17,17.03,94,51,1015.5,1011.7,100,0,100,0,100,0,100,0,19.11,1.8,24.48,2.19,54.16,1.84,29.52,7.92,TRUE
1500,2014,7,9,0,0,13.66,78.29,1012.5,23,0,98.42,32.62,65.54,95.12,16.6,2915.64,22.47,269.65,28.58,270.97,41.37,297.24,28.86,17.2,12.14,86,59,1013.9,1010.8,100,80,100,0,100,0,100,21,26.34,17.41,33.89,22.82,52.53,33.04,33.12,25.56,TRUE
1502,2014,7,11,0,0,17.9,81.42,1012.81,5.1,0,88.71,14.54,41.79,82.88,144.82,3720.2,14.73,270.07,18.6,271.94,18.73,337.56,17.49,19.94,16.06,92,70,1014.8,1011.3,100,22,47,0,100,0,100,7,19.6,8.56,21.84,13.2,32.76,1.94,23.76,7.56,TRUE
1504,2014,7,13,0,0,18.55,71.29,1012.7,4.1,0,86,38.71,48.5,67.38,94.47,4279.12,11.91,254.42,15.89,258.11,23.52,267.99,19.03,21.49,15.34,89,57,1014.3,1011.4,100,20,100,0,100,0,100,10,18.78,5.63,20.93,10.03,35.99,15.63,24.84,10.8,TRUE
1506,2014,7,15,0,0,20.2,60.08,1019.72,0,0,15.12,0,4.25,11.29,721.87,7614.84,6.04,243.91,6.55,258.2,8.22,286.81,6.68,25.7,14.16,91,36,1020.7,1018.7,100,0,0,0,58,0,100,0,10.69,1.48,12.07,1.14,12.92,4.33,11.16,1.08,FALSE
1510,2014,7,19,0,0,26.64,49.67,1012.01,0,0,19.1,31.46,15.92,0,763.31,7697.61,12.61,120.44,17.91,123.6,14.92,174.93,17.24,34.16,18.66,71,28,1015,1008.8,100,0,100,0,100,0,0,0,19.01,4.07,28.76,1.84,31.73,3.67,24.84,7.92,TRUE
1512,2014,7,21,0,0,18.98,71.08,1011.53,11.9,0,83.88,7.96,25.33,80.17,179.65,4517.64,17.14,250.02,21.47,255.83,36.86,277.33,22.95,22.63,16.84,83,51,1014.4,1009.2,100,0,35,0,100,0,100,0,25.15,4.35,30.36,5.59,56.58,19.38,32.04,11.16,TRUE
1514,2014,7,23,0,0,22.16,65.54,1012.61,0,0,60.15,53.75,48.5,12.75,255.12,6480.98,10.45,142.36,14.96,136.49,32.02,79.42,18.06,28.16,16.82,88,37,1015.2,1010.6,100,6.3,100,0,100,0,100,0,20.06,2.16,22.15,0.36,45.64,23.66,24.84,11.16,TRUE
1516,2014,7,25,0,0,22.5,52.46,1012.03,0,0,22.49,13.96,12.04,11.92,547.93,7202.77,5.36,249.89,6.61,259.72,6.96,274.37,7.99,27.62,17.2,69,34,1013,1011.1,100,0,100,0,94,0,100,0,9.59,1.44,14.17,0.72,16.97,1.53,14.04,2.16,TRUE
1518,2014,7,27,0,0,21.16,63.08,1015.35,0.9,0,38.07,13.92,16.38,30.33,453.64,5835.73,6.12,208.88,8.64,218.85,10.24,241.33,10.39,26.22,15.71,80,46,1016,1014.7,100,0,49,0,94,0,100,0,8.71,2.97,14.42,4.84,15.19,3.71,19.44,4.32,TRUE
1520,2014,7,29,0,0,16.77,76.88,1009.91,5.1,0,99.42,55.92,87.75,87.71,5.11,4456.23,12.84,255.64,16.06,259.22,21.58,281.45,17.09,19.87,13.93,86,64,1012.6,1008,100,86,100,12,100,0,100,0,18.58,5.62,24.1,6.11,41.56,7.93,28.08,9,TRUE
1522,2014,7,31,0,0,21.16,69.08,1013.73,0.7,0,42.95,4.62,0,42.62,531.47,6989.17,4.54,169.58,5.55,175.75,11.09,75.28,6.48,26.02,16.59,92,46,1015.5,1011.8,100,2,37,0,0,0,100,0,8.5,1.61,10.88,1.8,22.81,3.1,10.08,3.96,FALSE
1528,2014,8,6,0,0,19.12,64.71,1017.57,0,0,72.96,63.29,69.25,28.62,68.97,4359.22,5.81,166.31,7.72,160.78,10.07,162.27,10.41,24.26,14.26,83,43,1019.5,1015.7,100,3.6,100,0,100,0,100,0,14.04,1.3,20.91,2.31,16.1,2.62,16.56,5.04,TRUE
1530,2014,8,8,0,0,21.88,66.62,1013.04,0.6,0,43.33,24.42,26.75,14.96,418.21,5961.22,6.14,134.38,7.92,136.14,7.99,187.11,10.53,27.22,16.08,85,48,1016,1008.9,100,0,100,0,100,0,100,0,13.28,0.72,13.98,0.51,22.01,0.36,16.56,3.96,TRUE
1532,2014,8,10,0,0,24.65,62.58,1010.35,5.8,0,69.3,55.21,64.54,51.83,432.06,5962.11,12.75,182.32,17.59,188.42,25.05,217.26,25.65,32.31,19.07,85,30,1013.9,1006.8,100,2.7,100,0,100,0,100,0,22.77,2.16,25.36,2.81,54.28,11.92,37.08,12.96,TRUE
1534,2014,8,12,0,0,19.86,53.75,1014.11,0.1,0,75,48.96,70,21.08,323.8,5896.25,6.4,242.48,7.98,255.12,18.06,266.26,14.47,22.75,15.89,69,44,1016,1011.6,100,1,100,0,100,0,100,0,11.53,1.61,16.79,1.84,36.04,7.42,26.28,0.72,TRUE
1536,2014,8,14,0,0,15.54,67.29,1014.4,3.1,0,68.04,6.42,11.71,66.54,362.21,4138.5,10.65,250.51,15.17,259.9,28.63,262.37,18.45,18.39,12.39,77,56,1015.8,1013.6,100,0,100,0,100,0,100,0,19,3.83,26.25,5.5,52.62,17.11,29.88,11.52,TRUE
1538,2014,8,16,0,0,15.46,66.12,1020.46,1.2,0,46.04,0,16,46.04,636.31,5611.45,12.16,273.8,15.17,283.98,20.63,291.81,17.28,18.94,12.74,82,47,1022.2,1018.1,100,0,0,0,100,0,100,0,16.97,2.6,21.4,2.31,37.84,10.18,28.44,6.48,FALSE
1540,2014,8,18,0,0,18.14,59.79,1012.5,0,0,48.02,20.54,20.62,37.71,556.6,6314.55,16.5,269.46,21.81,274.97,36.31,273.11,29.37,22.01,14.65,76,45,1013.8,1011.1,100,0,100,0,100,0,100,0,28.47,4.32,32.49,9.23,47.07,18.64,41.4,10.44,TRUE
1542,2014,8,20,0,0,16.27,58.71,1015.97,0.6,0,73.38,48.58,43.88,43.67,85.24,4532.77,4.11,218.31,5.91,242.11,7.56,271.72,13.32,19.16,11.94,73,47,1016.9,1015.1,100,2.7,100,0,100,0,100,0,10.09,0.8,17.94,0.36,18.84,1.14,19.44,3.24,TRUE
1546,2014,8,24,0,0,15.05,66.42,1019.7,0.1,0,43.45,10.04,6.38,36.83,615.26,5513.55,5.98,274.7,9.46,284.74,17.82,294.02,14.26,19.31,11.62,87,45,1021.1,1018.5,100,0,89,0,69,0,100,0,8.76,1.61,21.52,0.72,33.56,7.92,25.2,10.44,TRUE
1548,2014,8,26,0,0,18.49,74.62,1008.73,9.4,0,94.14,50.92,89.79,78.67,78.32,2429.7,15.3,244.27,21.79,247.53,55.03,258.52,31.67,20.48,15.04,86,46,1011,1007,100,21.3,100,0,100,7,100,0,27.01,5.35,36.87,7.42,84.21,21.52,48.96,10.08,TRUE
1554,2014,9,1,0,0,15.01,75.79,1019.53,0,0,51.71,0,0,51.71,456.74,5011.59,10.25,278.94,13.32,282.36,19.19,231.09,13.9,18.72,12.03,93,55,1021.1,1017.1,100,0,0,0,0,0,100,0,13.49,4.32,18.21,8.05,33.11,8.91,23.4,5.76,FALSE
1560,2014,9,7,0,0,20.63,68.42,1013.78,0,0,4.63,1.83,3.67,0.42,716.39,5687.99,4.67,214.48,5.22,208.69,5.32,280.29,5.92,24.8,16.31,79,54,1014.8,1013.1,49,0,23,0,49,0,10,0,7.9,1.94,10.31,0.72,8.4,0.72,10.8,2.52,FALSE
1562,2014,9,9,0,0,20.62,69.33,1016.65,0.3,0,19.58,10.33,5.58,16.71,633.06,4876.31,4.69,248.41,5.54,253.24,7.84,294.65,5.58,24.5,17.31,86,57,1017.6,1016,100,0,100,0,70,0,100,0,10.01,0.72,10.8,0,10.85,5.48,10.44,1.44,FALSE
1564,2014,9,11,0,0,14.48,75.12,1014.97,0,0,27.71,0,0,27.71,590.38,4806,9.44,246.76,11.36,201.98,12.35,61.1,10.86,19.67,10.44,90,52,1017.2,1014,100,0,0,0,0,0,100,0,19.59,3.08,25.29,1.3,23.93,3.55,27,3.96,TRUE
1566,2014,9,13,0,0,16.54,83.71,1018.87,0,0,58.5,0,0,58.5,410.42,3315.25,6.32,217.53,8.29,221.09,10.92,96.96,11.52,20.18,13.99,97,66,1019.9,1017.1,100,0,0,0,0,0,100,0,12.02,1.3,14.39,0.36,19.65,6.48,19.8,5.4,FALSE
1568,2014,9,15,0,0,17.43,73.42,1014.93,0.1,0,15.02,16.08,14.58,1.75,615.96,5121.95,7.14,126.76,11.55,129.04,12.03,184.23,13.19,23.32,10.94,93,57,1016.4,1013.1,100,0,100,0,100,0,10,0,15.63,1.61,20.68,1.84,30.3,0.72,23.4,7.56,TRUE
1570,2014,9,17,0,0,20.19,66.17,1012.41,0,0,41.84,46.67,39.21,11.29,406.66,4682.29,5.23,183.48,8.07,175.31,8.59,165.51,6.56,25.5,14.61,79,50,1014.1,1010.7,100,0.3,100,1,100,0,100,0,8.05,1.48,18,2.55,19.51,3.76,16.56,1.8,TRUE
1572,2014,9,19,0,0,20.2,75.79,1014.12,7,0,51.64,31.92,48.29,33.92,258.3,3306.35,9.14,196.78,12.48,203.4,13.6,240.3,11.61,25.3,17.45,87,51,1015.5,1012.4,100,0,100,0,100,0,100,0,19.65,2.52,23.51,2.41,27.36,4.61,19.8,2.52,TRUE
1574,2014,9,21,0,0,17,78.88,1017.11,10,0,67.33,18.33,57.04,59.46,306.11,2403,10.56,239.17,14.2,247.4,32.04,264.88,21.22,22.11,12.46,93,57,1018.4,1015.8,100,0,100,0,100,0,100,0,19.8,2.28,26.08,3.32,48.27,22.46,28.08,14.04,TRUE
1576,2014,9,23,0,0,12.51,66.71,1019.95,0,0,6.96,23.21,0,0,714.87,5028.5,9.64,103.16,14.76,97.96,15.66,82.44,15.07,19.61,6.43,91,42,1023.4,1016.9,30,0,100,0,0,0,0,0,18,3.88,25.28,7.86,25.98,5.94,23.4,3.96,TRUE
1578,2014,9,25,0,0,14.43,68.92,1020.07,0.9,0,43.17,9.33,7.54,36.96,434.35,3915.11,7.42,270.93,11.4,271.27,15.04,290.35,12.51,17.41,11.86,81,54,1024.2,1015.4,100,0,69,0,84,0,100,0,14.69,1.61,24.69,4.35,38.02,6.88,23.76,6.48,FALSE
1582,2014,9,29,0,0,19.59,62.67,1025.05,0,0,53.05,26.67,41.29,34.42,291.45,4207.92,7.82,188.2,10.18,209.88,13.54,265.44,10.69,24.69,15.84,76,46,1026.3,1023.7,100,3.9,100,0,100,0,100,0,15.38,3.4,26.76,1.44,23.4,5.69,27.36,5.04,TRUE
1584,2014,10,1,0,0,17.87,76.83,1025.56,0.4,0,53.5,16.92,19.33,53.5,360.13,3482.57,4.64,177.01,6.69,152.65,5.92,218.63,7.07,20.75,15.19,94,60,1027.3,1024.4,100,0,100,0,100,0,100,0,9.23,1.8,13.4,1.8,10.82,2.88,10.8,2.88,FALSE
1586,2014,10,3,0,0,15.52,71.25,1023.27,0,0,5.94,4.58,5.62,0,632.46,4359.22,8.09,118.15,11.72,105.51,25.52,94.23,15.28,22.07,10.77,87,48,1026.1,1020,25,0,25,0,25,0,0,0,11.75,4.45,24.01,2.9,31.39,15.16,20.52,11.16,TRUE
1590,2014,10,7,0,0,17.54,67.25,1008.31,3.3,0,95.8,58.25,92.88,73.92,0,1949.99,13.61,187.56,19.26,195.72,53.06,231.34,31.72,22.69,13.18,84,52,1010.4,1006.9,100,17.1,100,0,100,11,100,0,24.39,3.88,30.26,2.81,73.45,25.77,40.68,11.16,TRUE
1594,2014,10,11,0,0,15.54,90.58,1014.27,10.2,0,65.7,54.79,59.88,61.17,268.59,1545.04,6.42,197.62,9.22,209.38,18.84,243.28,10.01,18.7,13.67,97,76,1015.7,1012.8,100,0,100,0,100,0,100,0,11.01,2.16,17.34,0.51,45.45,4.83,19.08,0.72,FALSE
1596,2014,10,13,0,0,16.87,77.46,1008.8,4.6,0,74.35,45.83,72.5,55.75,123.18,1867.22,7.44,145.13,10.21,156.89,26.15,220.42,15.87,20.97,14.23,90,59,1009.7,1007.8,100,0.3,100,0,100,0,100,0,12.88,1.44,18.89,1.48,58.5,3.56,28.8,3.24,TRUE
1598,2014,10,15,0,0,16.94,75.71,1008.68,8.3,0,90.38,67.92,89.79,65.5,125.11,2953.91,4.94,173.75,6.31,208.35,17.3,237.4,11.37,20.9,13.01,94,56,1011.1,1006.8,100,27,100,0,100,13,100,0,10.81,0.51,17.58,0.72,33.2,4.32,19.44,1.8,TRUE
1600,2014,10,17,0,0,17.57,73,1013.55,8.6,0,49.64,46.04,47.71,42.88,469.32,3295.67,15.38,209.51,20.9,215.79,39.91,241.14,24.42,19.65,13.07,84,59,1019.4,1006.6,100,0,100,0,100,0,100,0,33.53,1.48,44.46,2.41,93.03,8.29,50.04,4.32,FALSE
1606,2014,10,23,0,0,8.64,73.75,1023.47,0,0,57.62,0,0,57.62,127.71,3121.23,10.73,264.09,14.16,269.67,17.8,306.79,16.65,12.22,5.34,86,61,1024.5,1022.9,100,0,0,0,0,0,100,0,23.14,0,30.1,1.8,50.94,1.14,31.68,3.96,FALSE
1608,2014,10,25,0,0,11.24,73.83,1021.06,0,0,82.49,26.83,28.75,66.96,10.21,1848.53,4.98,176.2,6.66,184.93,11.47,231.8,5.84,14.85,8.04,89,56,1023,1019.9,100,3.3,100,0,100,0,100,0,7.63,0.8,18.79,1.3,15.63,3.88,15.84,1.44,FALSE
1610,2014,10,27,0,0,11.37,72.46,1024.04,0,0,26.57,34.17,25.21,0,296.25,3069.61,9.1,111.71,16.21,108.23,17.11,91.49,14.52,16.71,6.61,90,54,1025.8,1022.1,100,0,100,0,100,0,0,0,16.9,1.61,24.96,1.8,25.67,9.47,19.8,6.84,FALSE
1614,2014,10,31,0,0,13.25,72.75,1025.23,0,0,7.75,25.83,0,0,599.84,2897.84,11.16,122.78,20.17,123.99,15.3,109.14,18.21,19.51,8.66,90,52,1026.5,1023.4,30,0,100,0,0,0,0,0,15.14,6.62,27.03,14.01,20.12,10.25,24.84,12.6,FALSE
1616,2014,11,2,0,0,13.66,65.88,1019.11,0,0,25.75,48.67,19.75,0.25,318.31,2808.84,6.31,115.6,8.13,149.46,20.49,238.29,11.43,18.1,9.92,80,48,1022.3,1015,100,0,100,0,100,0,6,0,9.69,2.88,15.63,1.14,35.97,12.43,29.52,2.88,FALSE
1618,2014,11,4,0,0,12.05,70.42,997.13,0.2,0,89.86,71.54,87.33,58.42,0,1674.09,11.23,201.71,16.8,218.08,36.87,226.69,28.47,14.95,9.21,89,53,1001.2,993.9,100,6.9,100,20,100,6,100,0,24.97,2.31,30.78,4.45,71.8,6.41,47.16,5.04,TRUE
1620,2014,11,6,0,0,7.54,80.92,1011.82,0.4,0,71.5,0,34.88,71.29,62.46,2187.62,7.11,220.17,9.92,221.78,12.26,210.58,10.26,10.05,5.36,91,68,1013.7,1008.4,100,0,0,0,100,0,100,0,12.24,0.36,17.64,0.36,23.93,1.02,19.8,1.8,TRUE
1622,2014,11,8,0,0,8.85,76.96,1012.44,0,0,5.76,18.08,1.29,0.33,563.04,2630.84,8.59,154.08,12.13,161.9,33.51,199.27,16.2,13.61,5.06,86,62,1014.8,1009.4,30,0,100,0,12,0,8,0,16.52,0.36,20.18,2.19,49.78,11.75,26.64,5.4,TRUE
1624,2014,11,10,0,0,9.7,88.79,1011.52,9.9,0,74.21,43.58,61.62,67.38,60.35,1387.51,7.72,119.94,11.93,128.61,13.96,213.42,11.74,11.91,8.33,96,81,1013.5,1010.3,100,0,100,0,100,0,100,0,14.2,0.36,25.13,1.08,27.23,3.56,22.32,2.52,FALSE
1628,2014,11,14,0,0,9.3,82.67,1008.78,0,0,36.71,20.17,21.5,30.92,502.25,2424.36,15.06,115.08,24.3,119.46,10,164.35,13.26,15.27,4.81,96,64,1012.2,1005.1,100,0,100,0,100,0,100,0,20.99,9.06,31.24,13.24,17.11,2.28,25.92,6.48,TRUE
1630,2014,11,16,0,0,10.19,72.92,1002.32,2.1,0,85.5,41.42,81.29,79.42,196.2,2059.46,13.13,200.15,18.09,211.52,38.59,247.18,23.59,13.54,7.7,90,57,1003.2,1001.1,100,0,100,0,100,0,100,0,20.57,6.49,25.57,7.09,65.33,23.14,35.28,11.52,TRUE
1632,2014,11,18,0,0,8.07,78.38,1007.92,0.6,0,52.16,3,0.29,51.58,276.38,2063.02,3.94,171.38,4.32,192.26,12.05,267.42,8.9,11.03,5.3,85,70,1011,1005.9,100,0,23,0,2,0,100,0,6.76,1.08,10.95,1.14,24.29,2.55,13.32,0.72,FALSE
1634,2014,11,20,0,0,6.39,81.12,1024.04,0,0,42.14,9.12,39.96,18.25,256.92,2202.75,7.04,124.35,13.15,116.25,12.61,117.31,15.69,11.98,1.19,94,62,1025.8,1022.4,100,0,50,0,100,0,100,0,12.07,1.08,19.39,6.37,20.18,4.61,27.72,5.4,FALSE
1636,2014,11,22,0,0,9.99,75.46,1020.09,0,0,18.61,34.29,15.17,0.25,527.99,2139.56,9.58,107.83,18.57,114.83,16.07,222.38,9.42,15.05,6.68,87,63,1021.1,1018.7,100,0,100,0,100,0,6,0,13.39,7.57,28.77,8.65,29.2,3.1,15.12,3.24,FALSE
1638,2014,11,24,0,0,11.49,79.71,1021.25,0,0,72.67,21.79,46.25,50.46,270,2030.98,8.25,208.59,12.53,213.69,17.19,249.3,7.68,15.37,8.66,92,59,1022.7,1020.2,100,3.3,100,0,100,0,100,0,14.17,1.3,22.48,0.51,42.12,1.53,16.56,2.16,FALSE
1640,2014,11,26,0,0,9.12,81.54,1013.9,0.1,0,82.75,38.17,52.92,62.38,38.94,1481.85,11.89,105.88,18.72,108.6,9.43,224.72,9.87,12.62,6.74,88,75,1016.9,1011.8,100,18,100,16,100,7,100,0,18.86,5.41,27.94,7.59,16.17,3.32,19.8,5.04,FALSE
1642,2014,11,28,0,0,8.22,78.83,1007.58,0,0,26.2,13.92,22.38,18,499.32,2020.3,11.27,165.27,17.56,155.97,22.76,116.27,16.44,13.26,5.24,90,60,1010.5,1005,100,0,34,0,100,0,100,0,22.71,1.84,34.15,3.6,38.83,7.7,25.56,5.76,FALSE
1644,2014,11,30,0,0,3.3,85.79,1010.07,0,0,51.17,21.96,23.96,37.71,166.6,1887.69,5.05,203.62,9.24,217.45,11.5,104.53,7.08,6.77,0.37,96,68,1012.4,1007.1,100,0,100,0,100,0,100,0,9.45,2.19,16.65,1.02,19.39,5.09,19.8,1.8,TRUE
1646,2014,12,2,0,0,3.31,87.83,1009.17,0,0,100,0,4.25,100,0,665.72,7.57,312.52,8.92,315.65,6.5,249.86,7.7,4.28,1.98,93,83,1012,1007.1,100,100,0,0,100,0,100,100,14.71,2.9,17.19,3.71,15.73,1.8,13.32,3.24,FALSE
1648,2014,12,4,0,0,3.9,82.92,1014.21,0,0,29.4,1.79,28.79,20.83,281.51,1604.67,9.1,153.14,13.64,160.49,11.3,185.28,10.29,7.24,1.83,90,71,1015.6,1012.1,100,0,27,0,100,0,100,0,16.78,1.48,23.04,1.8,18.36,1.3,20.52,0.72,FALSE
1656,2014,12,12,0,0,7.56,63.67,1014.04,0,0,42.69,39.83,31.88,16.25,476.2,1824.5,19.16,230.99,26.93,234.64,67.99,251.02,37.24,11.31,3.65,74,48,1019.4,1009.4,100,4,100,0,100,0,100,0,28.69,3.67,38.38,2.97,79.08,59.16,47.88,25.2,FALSE
1660,2014,12,16,0,0,6.29,83.58,1015.4,0,0,97.5,36.96,62.04,67.17,0,1262.91,8.84,239.67,12.47,269.08,22.39,288.69,13.98,9.1,4.42,90,76,1017.4,1013.6,100,49,100,0,100,0,100,0,15.94,2.41,20.55,6.12,34.39,3.62,17.64,7.92,TRUE
1662,2014,12,18,0,0,10.01,84.79,1017.83,12.6,0,84.33,4.88,35.04,84.29,0,277.68,13.29,237.63,20.89,247.84,51.05,274.24,25.33,12.4,7.01,92,80,1021.4,1014.5,100,0,24,0,100,0,100,0,23.02,4.61,32.33,8.44,68.48,32.64,34.92,13.32,TRUE
1664,2014,12,20,0,0,6.66,79.12,1028.65,1.2,0,62.96,7.42,12.17,60.42,95.61,1375.05,20.4,276.53,26.94,276.91,45.4,283.17,29.04,10.86,4.89,87,67,1031.5,1022.9,100,0,59,0,100,0,100,0,35.45,10.82,45.05,14.56,78.52,24.87,44.64,16.56,FALSE
1666,2014,12,22,0,0,4.31,70.21,1031.61,0,0,2.21,7.38,0,0,535.73,1755.97,5.68,224.14,8.66,248.75,50.15,266.41,19.3,8.3,1.27,83,54,1034.8,1028.9,30,0,100,0,0,0,0,0,15.46,1.08,17.58,1.02,57.23,42.74,25.92,15.48,FALSE
1668,2014,12,24,0,0,6.45,62.12,1024.1,0,0,54.61,46.79,51.62,6.5,341.34,1616.24,8.88,233.83,14.4,249.49,54.68,266.84,24.63,9.24,4.59,78,37,1025.5,1023.4,100,0,100,0,100,0,100,0,16.98,1.14,23.9,3.42,68.82,41.12,28.8,19.8,TRUE
1670,2014,12,26,0,0,1.97,84.75,1029.36,0.8,0,40.44,1.92,4.88,35.46,296.43,1233.54,13.65,262.55,19.28,267.02,17.55,308.2,18.15,4.23,-0.47,93,71,1031.1,1026.5,100,0,18,0,62,0,100,0,19.56,6.85,24.39,8.05,36.74,10.14,23.4,8.64,TRUE
1672,2014,12,28,0,0,-1.33,79.79,1008.37,4.2,2.87,79.67,0,57.71,75,0,775.19,34.77,198.66,39.2,185.45,46.99,134.97,37.56,1.45,-5.58,94,62,1029.9,995.5,100,0,0,0,100,0,100,0,60.99,10.69,69.95,14.9,87.84,32.02,61.92,18.36,TRUE
1674,2014,12,30,0,0,-0.35,82.38,1036.29,1.6,0,99.38,6.88,52.38,99.38,0,1344.79,16.72,289.46,18.48,291.34,23.19,276.64,20.02,2.59,-3.64,96,68,1037.7,1035.3,100,85,85,0,100,0,100,85,27.72,11.12,28.8,11.61,40.38,7.17,33.48,11.16,TRUE
1676,2015,1,1,0,0,0.37,79.42,1036.25,0,0,0.33,0,0,0.33,569.67,1737.28,6.61,191.05,8.57,189.38,22.83,101.15,11.37,4.28,-2,87,68,1037.7,1035.1,3,0,0,0,0,0,3,0,12.9,1.44,19.59,0.36,33.84,2.16,23.04,3.6,TRUE
1678,2015,1,3,0,0,5.01,89.54,1029.45,4.8,0,72.14,30.04,28.67,72,37.02,799.22,19.5,208.33,24.09,216.56,60.4,271.11,33.7,10.51,0.31,97,82,1038.3,1019.8,100,0,100,0,100,0,100,0,49.29,2.74,62.27,1.48,122.09,11.61,77.04,5.76,TRUE
1684,2015,1,9,0,0,8.94,75.5,1033.92,0.6,0,77.5,66.25,70.04,56,34.47,956.75,25.7,251.67,34.56,252.41,75.64,271.17,41.49,12.12,6.42,90,47,1038.8,1027.3,100,8.1,100,16,100,0,100,0,43.53,12.52,55.83,19.93,106.61,44.29,66.24,25.92,FALSE
1686,2015,1,11,0,0,5.53,75.92,1025.71,7.8,0,72.67,16.58,58.79,57,220.28,1506.77,27.56,273.93,35.12,274.68,58.14,287.5,40.27,11.53,3.88,86,69,1030.7,1019,100,0,100,0,100,0,100,0,36.83,15.91,48.04,18.63,76.94,36.23,49.32,28.8,FALSE
1688,2015,1,13,0,0,7.88,46.42,1018.62,0,0,15.93,10.04,14.42,5.75,526.97,1984.7,14.46,176.97,19.19,198.1,75.38,250.84,36.94,12.25,3.54,72,33,1024.4,1014.5,100,0,100,0,100,0,100,0,27,5.41,37.89,2.6,89.59,53.01,47.52,27.36,TRUE
1690,2015,1,15,0,0,8.37,62.17,1012.49,0,0,73.98,61.58,73.42,36.25,6.02,1358.14,14.5,191.74,21.33,209.93,61.59,245.46,32.79,13.2,4.26,82,48,1020.4,1007.2,100,0,100,0,100,0,100,0,22.18,7.65,30.06,9.83,78.66,42.04,42.48,20.52,TRUE
1692,2015,1,17,0,0,4.11,84.21,1014.42,8.2,0,76.08,15.38,76.08,71.25,7.72,1026.17,12.53,253.15,17.7,258.57,30.49,284.38,19.59,5.92,0.26,89,77,1020.3,1008.6,100,0,92,0,100,0,100,0,23.34,2.74,28.58,3.24,41.77,16.36,26.64,8.28,FALSE
1694,2015,1,19,0,0,2.38,81.62,1011.54,1.5,0,84.92,26.58,79.29,79.46,0,1207.73,9.38,157.55,13.74,155.56,16.4,220.22,11.19,5.55,-1.12,94,69,1013.8,1009.6,100,0,100,0,100,0,100,0,15.38,0.72,25.5,0.8,25.01,7.17,24.48,2.52,TRUE
1696,2015,1,21,0,0,2.27,83.54,1009.19,0,0,53.46,1.25,43.5,35.25,411.91,2241.91,10.44,179.19,13.74,188.79,14.37,129.92,12.72,5.94,0.4,95,62,1011.8,1007.3,100,0,23,0,100,0,100,0,27.66,0.72,31.26,2.88,24.16,5.5,26.28,4.68,FALSE
1698,2015,1,23,0,0,1.91,88.25,1021.26,0,0,100,0,0,100,0,892.67,9.56,191.29,12.19,209.37,11.15,76.22,12.42,3.85,0.02,96,79,1024.8,1018.4,100,100,0,0,0,0,100,100,16.22,3.6,20.19,4.2,17.83,3.42,21.24,5.04,TRUE
1700,2015,1,25,0,0,1.28,84.67,1029.21,0.1,0,72.68,11.21,28.92,60.38,171.45,2304.21,14.72,328.96,17.95,277.51,30.66,43.95,21.51,4.08,-0.95,96,67,1030.9,1025.6,100,2.4,92,0,100,0,100,0,25.81,1.94,31.31,2.88,56.72,17.58,34.2,6.84,TRUE
